date,team,opponent,result,attendance,contest,WL,home_score,away_score,game_number,location,auto_generate
10/03/2024,Alverno,St. Norbert,L 0-3,37.0,5674173,L,0,3,1,,
10/03/2024,Aurora,Rockford,W 3-0,182.0,5674190,W,3,0,1,,
10/03/2024,Benedictine (IL),Concordia Chicago,W 3-0,174.0,5674129,W,3,0,1,,
10/03/2024,Concordia Wisconsin,Marian (WI),W 3-1,221.0,5674195,W,3,1,1,,
10/03/2024,Dominican (IL),Lakeland,L 1-3,100.0,5674179,L,1,3,1,,
10/03/2024,Edgewood,IIT,W 3-1,162.0,5674188,W,3,1,1,,
10/03/2024,Kean,Rutgers-Camden,W 3-0,100.0,5674201,W,3,0,1,,
10/03/2024,Montclair St.,New Jersey City,W 3-0,59.0,5674158,W,3,0,1,,
10/03/2024,Ramapo,Rowan,L 0-3,75.0,5674176,L,0,3,1,,
10/03/2024,Rutgers-Newark,Stockton,L 0-3,150.0,5674203,L,0,3,1,,
10/03/2024,Schreiner,Southwestern (TX),L 2-3,375.0,5674132,L,2,3,1,,
10/03/2024,Fontbonne,Webster,L 1-3,120.0,5674178,L,1,3,1,,
10/03/2024,Farmingdale St.,Purchase,W 3-0,106.0,5674147,W,3,0,1,,
10/03/2024,Manhattanville,Merchant Marine,W 3-1,91.0,5674191,W,3,1,1,,
10/03/2024,Mt. St. Mary (NY),UMSV,W 3-2,49.0,5674172,W,3,2,1,,
10/03/2024,Old Westbury,Sarah Lawrence,L 0-3,107.0,5674114,L,0,3,1,,
10/03/2024,SUNY Maritime,St. Joseph's (L.I.),L 0-3,174.0,5674164,L,0,3,1,,
10/03/2024,Penn St. Brandywine,Penn St.-Abington,L 0-3,57.0,5674180,L,0,3,1,,
10/04/2024,Alfred St.,RIT,W 3-0,210.0,5674475,W,3,0,1,,
10/04/2024,Mount Aloysius,Susquehanna,L 1-3,103.0,5674223,L,1,3,1,,
10/04/2024,East Tex. Baptist,Hardin-Simmons,W 3-1,802.0,5674383,W,3,1,1,,
10/04/2024,Howard Payne,LeTourneau,L 0-3,225.0,5674342,L,0,3,1,,
10/04/2024,Central (IA),Luther,W 3-1,125.0,5674241,W,3,1,1,,
10/04/2024,Dubuque,Augustana (IL),W 3-1,213.0,5674392,W,3,1,1,,
10/04/2024,Dubuque,Carroll (WI),W 3-1,300.0,5674487,W,3,1,1,,
10/04/2024,Immaculata,Eastern,L 0-3,141.0,5674266,L,0,3,1,,
10/04/2024,Neumann,Messiah,L 0-3,225.0,5674456,L,0,3,1,,
10/04/2024,Augustana (IL),Carroll (WI),L 1-3,200.0,5674227,L,1,3,1,,
10/04/2024,Elmhurst,North Central (IL),L 2-3,208.0,5674403,L,2,3,1,,
10/04/2024,Ill. Wesleyan,Millikin,W 3-1,1620.0,5674450,W,3,1,1,,
10/04/2024,Curry,Lesley,W 3-0,40.0,5674451,W,3,0,1,,
10/04/2024,Alfred,Elmira,W 3-0,321.0,5674311,W,3,0,1,,
10/04/2024,Hartwick,SUNY Poly,W 3-0,68.0,5674334,W,3,0,1,,
10/04/2024,Houghton,Keuka,W 3-2,120.0,5674484,W,3,2,1,,
10/04/2024,Nazareth,SUNY Geneseo,W 3-1,173.0,5674277,W,3,1,1,,
10/04/2024,Russell Sage,Utica,W 3-0,237.0,5674448,W,3,0,1,,
10/04/2024,SUNY Brockport,St. John Fisher,W 3-1,219.0,5674304,W,3,1,1,,
10/04/2024,Anna Maria,MCLA,L 0-3,831.0,5763063,L,0,3,1,,
10/04/2024,Emmanuel (MA),Simmons,L 0-3,254.0,5674483,L,0,3,1,,
10/04/2024,Catholic,Lycoming,W 3-2,75.0,5674384,W,3,2,1,,
10/04/2024,Elizabethtown,Moravian,W 3-2,138.0,5674394,W,3,2,1,,
10/04/2024,Goucher,Juniata,L 0-3,126.0,5674341,L,0,3,1,,
10/04/2024,Susquehanna,Wilkes,W 3-0,134.0,5674417,W,3,0,1,,
10/04/2024,Clarkson,Vassar,W 3-0,148.0,5674242,W,3,0,1,,
10/04/2024,Ithaca,Trinity (TX),W 3-1,100.0,5674228,W,3,1,1,,
10/04/2024,Skidmore,St. Lawrence,W 3-0,120.0,5674397,W,3,0,1,,
10/04/2024,Plymouth St.,Framingham St.,W 3-1,204.0,5674220,W,3,1,1,,
10/04/2024,Augsburg,St. Catherine,L 1-3,143.0,5674479,L,1,3,1,,
10/04/2024,Bethel (MN),Carleton,W 3-2,209.0,5674442,W,3,2,1,,
10/04/2024,Illinois Col.,Lawrence,W 3-1,321.0,5674482,W,3,1,1,,
10/04/2024,Knox,Lake Forest,L 0-3,112.0,5674438,L,0,3,1,,
10/04/2024,Monmouth (IL),Ripon,W 3-0,50.0,5674393,W,3,0,1,,
10/04/2024,MSOE,Wis. Lutheran,W 3-2,210.0,5674324,W,3,2,1,,
10/04/2024,Oberlin,Ohio Wesleyan,W 3-0,87.0,5674446,W,3,0,1,,
10/04/2024,Amherst,Bowdoin,L 0-3,71.0,5674209,L,0,3,1,,
10/04/2024,Bates,Middlebury,L 0-3,267.0,5674463,L,0,3,1,,
10/04/2024,Colby,Hamilton,W 3-1,167.0,5674299,W,3,1,1,,
10/04/2024,Trinity (CT),Wesleyan (CT),L 0-3,150.0,5674293,L,0,3,1,,
10/04/2024,Tufts,Williams,W 3-1,291.0,5674405,W,3,1,1,,
10/04/2024,Smith,Trinity (TX),L 2-3,45.0,5674217,L,2,3,1,,
10/04/2024,Smith,NYU,L 1-3,305.0,5674481,L,1,3,1,,
10/04/2024,George Fox,Puget Sound,L 1-3,270.0,5674476,L,1,3,1,,
10/04/2024,Lewis & Clark,Whitman,L 0-3,150.0,5674401,L,0,3,1,,
10/04/2024,Pacific (OR),Pacific Lutheran,L 1-3,82.0,5674478,L,1,3,1,,
10/04/2024,Whitworth,Willamette,W 3-2,180.0,5674454,W,3,2,1,,
10/04/2024,Husson,Maine Maritime,L 0-3,150.0,5674210,L,0,3,1,,
10/04/2024,Me.-Presque Isle,Thomas (ME),L 0-3,75.0,5674236,L,0,3,1,,
10/04/2024,Marietta,Ohio Northern,W 3-2,323.0,5674444,W,3,2,1,,
10/04/2024,Mount Union,Otterbein,L 0-3,350.0,5674400,L,0,3,1,,
10/04/2024,Averett,Shenandoah,W 3-1,100.0,5674399,W,3,1,1,,
10/04/2024,Bridgewater (VA),Va. Wesleyan,L 1-3,205.0,5682664,L,1,3,1,,
10/04/2024,East. Mennonite,Guilford,L 0-3,50.0,5674317,L,0,3,1,,
10/04/2024,Hollins,Randolph-Macon,L 0-3,192.0,5674441,L,0,3,1,,
10/04/2024,Lynchburg,Roanoke,W 3-0,138.0,5674422,W,3,0,1,,
10/04/2024,Allegheny,Geneva,W 3-0,173.0,5674252,W,3,0,1,,
10/04/2024,Allegheny,Carnegie Mellon,L 2-3,159.0,5674486,L,2,3,1,,
10/04/2024,Hendrix,Rhodes,W 3-2,76.0,5674360,W,3,2,1,,
10/04/2024,Concordia (TX),Southwestern (TX),L 1-3,100.0,5674337,L,1,3,1,,
10/04/2024,Dallas,McMurry,L 0-3,187.0,5674353,L,0,3,1,,
10/04/2024,Cal Lutheran,La Verne,L 0-3,200.0,5674477,L,0,3,1,,
10/04/2024,Caltech,Pomona-Pitzer,L 0-3,40.0,5674471,L,0,3,1,,
10/04/2024,Chapman,Redlands,L 2-3,240.0,5674480,L,2,3,1,,
10/04/2024,Claremont-M-S,Whittier,W 3-0,113.0,5674453,W,3,0,1,,
10/04/2024,Greenville,Lyon,W 3-1,300.0,5674408,W,3,1,1,,
10/04/2024,Buffalo St.,SUNY Potsdam,W 3-1,80.0,5674295,W,3,1,1,,
10/04/2024,Cortland,Oswego St.,W 3-0,128.0,5674364,W,3,0,1,,
10/04/2024,Fredonia,Plattsburgh St.,W 3-0,38.0,5674270,W,3,0,1,,
10/04/2024,SUNY Canton,SUNY Morrisville,L 0-3,109.0,5674274,L,0,3,1,,
10/04/2024,Bethany Lutheran,Minn.-Morris,L 1-3,107.0,5674412,L,1,3,1,,
10/04/2024,Crown (MN),Martin Luther,L 1-3,100.0,5674426,L,1,3,1,,
10/04/2024,North Central (MN),Northland,W 3-0,120.0,5674485,W,3,0,1,,
10/04/2024,Northwestern-St. Paul,Wis.-Superior,W 3-0,430.0,5674468,W,3,0,1,,
10/04/2024,UW-River Falls,Wis.-Platteville,L 0-3,455.0,5674396,L,0,3,1,,
10/04/2024,Wis.-Eau Claire,Wis.-Whitewater,L 0-3,526.0,5674447,L,0,3,1,,
10/04/2024,Wis.-La Crosse,Wis.-Stevens Point,L 2-3,554.0,5674470,L,2,3,1,,
10/04/2024,Wis.-Oshkosh,Wis.-Stout,W 3-1,222.0,5674404,W,3,1,1,,
10/05/2024,Carlow,Westminster (PA),L 0-3,107.0,5674686,L,0,3,1,,
10/05/2024,Carlow,Mount Union,L 0-3,121.0,5674787,L,0,3,1,,
10/05/2024,Mount Aloysius,Misericordia,L 1-3,57.0,5674580,L,1,3,1,,
10/05/2024,Mount Aloysius,Mt. St. Mary (NY),W 3-1,24.0,5674772,W,3,1,1,,
10/05/2024,East Tex. Baptist,Howard Payne,W 3-0,275.0,5674648,W,3,0,1,,
10/05/2024,Hardin-Simmons,LeTourneau,W 3-0,104.0,5674581,W,3,0,1,,
10/05/2024,Coe,Wartburg,L 2-3,250.0,5674900,L,2,3,1,,
10/05/2024,Luther,Grinnell,L 0-3,78.0,5674640,L,0,3,1,,
10/05/2024,Neb. Wesleyan,Webster,L 0-3,137.0,5674504,L,0,3,1,,
10/05/2024,Chris. Newport,Salisbury,L 0-3,141.0,5674577,L,0,3,1,,
10/05/2024,Chris. Newport,Scranton,W 3-1,67.0,5674785,W,3,1,1,,
10/05/2024,Mary Washington,Juniata,L 0-3,56.0,5674780,L,0,3,1,,
10/05/2024,Mary Washington,Catholic,W 3-0,96.0,5674857,W,3,0,1,,
10/05/2024,Salisbury,Scranton,W 3-0,126.0,5674865,W,3,0,1,,
10/05/2024,Carroll (WI),Wis.-Oshkosh,L 0-3,142.0,5674534,L,0,3,1,,
10/05/2024,Carroll (WI),Wis.-Stout,L 1-3,72.0,5674594,L,1,3,1,,
10/05/2024,Carthage,North Park,W 3-0,211.0,5674875,W,3,0,1,,
10/05/2024,North Central (IL),Wis.-Eau Claire,W 3-0,90.0,5674600,W,3,0,1,,
10/05/2024,North Park,UChicago,L 0-3,90.0,5674916,L,0,3,1,,
10/05/2024,Agnes Scott,Asbury,L 0-3,0.0,5674491,L,0,3,1,,
10/05/2024,Agnes Scott,Belhaven,L 1-3,0.0,5674585,L,1,3,1,,
10/05/2024,Asbury,Belhaven,W 3-0,0.0,5674773,W,3,0,1,,
10/05/2024,Covenant,LaGrange,W 3-0,87.0,5674492,W,3,0,1,,
10/05/2024,Covenant,Piedmont,W 3-0,105.0,5674551,W,3,0,1,,
10/05/2024,Huntingdon,Maryville (TN),L 0-3,45.0,5674776,L,0,3,1,,
10/05/2024,Huntingdon,Wesleyan (GA),W 3-0,65.0,5674884,W,3,0,1,,
10/05/2024,LaGrange,Piedmont,L 1-3,89.0,5674839,L,1,3,1,,
10/05/2024,Maryville (TN),Wesleyan (GA),W 3-0,50.0,5674574,W,3,0,1,,
10/05/2024,Endicott,Clark (MA),W 3-0,123.0,5674696,W,3,0,1,,
10/05/2024,Endicott,Salve Regina,W 3-0,146.0,5674809,W,3,0,1,,
10/05/2024,Nichols,Worcester St.,W 3-0,55.0,5674815,W,3,0,1,,
10/05/2024,Nichols,Trinity (CT),L 0-3,125.0,5674653,L,0,3,1,,
10/05/2024,Roger Williams,Wheaton (MA),W 3-0,0.0,5674688,W,3,0,1,,
10/05/2024,Roger Williams,Babson,L 0-3,0.0,5674804,L,0,3,1,,
10/05/2024,U New England,Mass. Maritime,W 3-0,121.0,5674870,W,3,0,1,,
10/05/2024,Wentworth,Wm. Paterson,L 1-3,127.0,5674505,L,1,3,1,,
10/05/2024,Wentworth,Lasell,L 2-3,145.0,5674764,L,2,3,1,,
10/05/2024,Western New Eng.,Ramapo,W 3-0,54.0,5674694,W,3,0,1,,
10/05/2024,Western New Eng.,John Jay,W 3-0,89.0,5674796,W,3,0,1,,
10/05/2024,Baruch,Clarkson,L 0-3,9.0,5674700,L,0,3,1,,
10/05/2024,Baruch,SUNY New Paltz,L 0-3,60.0,5674830,L,0,3,1,,
10/05/2024,Brooklyn,Medgar Evers,W 3-0,33.0,5674502,W,3,0,1,,
10/05/2024,Brooklyn,Lehman,W 3-0,50.0,5674741,W,3,0,1,,
10/05/2024,CCNY,New Jersey City,L 0-3,50.0,5674512,L,0,3,1,,
10/05/2024,John Jay,Ramapo,W 3-1,76.0,5674514,W,3,1,1,,
10/05/2024,Lehman,Medgar Evers,W 3-0,35.0,5674590,W,3,0,1,,
10/05/2024,Dickinson,Haverford,L 0-3,65.0,5674672,L,0,3,1,,
10/05/2024,Franklin & Marshall,Washington Col.,W 3-0,62.0,5674657,W,3,0,1,,
10/05/2024,Gettysburg,Muhlenberg,W 3-0,87.0,5674608,W,3,0,1,,
10/05/2024,Johns Hopkins,Ursinus,W 3-0,65.0,5674582,W,3,0,1,,
10/05/2024,Johns Hopkins,York (PA),W 3-0,100.0,5674886,W,3,0,1,,
10/05/2024,McDaniel,Swarthmore,L 0-3,87.0,5674683,L,0,3,1,,
10/05/2024,Ursinus,York (PA),L 0-3,50.0,5682738,L,0,3,1,,
10/05/2024,Trinity Washington,Penn St. Brandywine,L 0-3,276.0,5674781,L,0,3,1,,
10/05/2024,Trinity Washington,Gallaudet,L 0-3,270.0,5674856,L,0,3,1,,
10/05/2024,Alfred,Keuka,W 3-1,74.0,5674599,W,3,1,1,,
10/05/2024,Elmira,Houghton,L 1-3,248.0,5674713,L,1,3,1,,
10/05/2024,Hartwick,Utica,W 3-0,100.0,5674604,W,3,0,1,,
10/05/2024,Nazareth,SUNY Brockport,W 3-1,253.0,5674729,W,3,1,1,,
10/05/2024,Russell Sage,SUNY Poly,W 3-0,44.0,5674554,W,3,0,1,,
10/05/2024,SUNY Geneseo,St. John Fisher,L 1-3,100.0,5674621,L,1,3,1,,
10/05/2024,Albertus Magnus,Elms,W 3-2,102.0,5674519,W,3,2,1,,
10/05/2024,Albertus Magnus,Old Westbury,W 3-0,106.0,5674803,W,3,0,1,,
10/05/2024,Anna Maria,Saint Joseph (CT),L 0-3,43.0,5674518,L,0,3,1,,
10/05/2024,Anna Maria,Regis (MA),L 0-3,38.0,5674698,L,0,3,1,,
10/05/2024,Colby-Sawyer,New England Col.,W 3-0,55.0,5674522,W,3,0,1,,
10/05/2024,Colby-Sawyer,Mitchell,W 3-0,55.0,5674808,W,3,0,1,,
10/05/2024,Dean,St. Joseph's (ME),L 0-3,100.0,5674521,L,0,3,1,,
10/05/2024,Dean,JWU (Providence),L 0-3,100.0,5674697,L,0,3,1,,
10/05/2024,Elms,Old Westbury,W 3-0,100.0,5674494,W,3,0,1,,
10/05/2024,Emmanuel (MA),UMass Dartmouth,L 0-3,75.0,5674775,L,0,3,1,,
10/05/2024,Emmanuel (MA),Southern Me.,W 3-1,100.0,5674833,W,3,1,1,,
10/05/2024,JWU (Providence),St. Joseph's (ME),W 3-1,100.0,5674752,W,3,1,1,,
10/05/2024,Lasell,Wm. Paterson,W 3-1,127.0,5674589,W,3,1,1,,
10/05/2024,Mitchell,New England Col.,L 1-3,55.0,5674693,L,1,3,1,,
10/05/2024,Regis (MA),Saint Joseph (CT),W 3-0,73.0,5674802,W,3,0,1,,
10/05/2024,Rivier,Fitchburg St.,W 3-0,84.0,5674559,W,3,0,1,,
10/05/2024,Anderson (IN),Franklin,W 3-1,122.0,5674656,W,3,1,1,,
10/05/2024,Berea,Rose-Hulman,L 1-3,245.0,5674515,L,1,3,1,,
10/05/2024,Bluffton,Transylvania,L 0-3,145.0,5674727,L,0,3,1,,
10/05/2024,Earlham,Mt. St. Joseph,L 1-3,412.0,5674652,L,1,3,1,,
10/05/2024,Hanover,Manchester,L 1-3,105.0,5674751,L,1,3,1,,
10/05/2024,Catholic,Juniata,L 0-3,78.0,5674576,L,0,3,1,,
10/05/2024,Drew,Lebanon Valley,W 3-0,78.0,5674864,W,3,0,1,,
10/05/2024,Drew,Stevenson,L 0-3,99.0,5674895,L,0,3,1,,
10/05/2024,Elizabethtown,Wilkes,W 3-0,148.0,5674529,W,3,0,1,,
10/05/2024,Elizabethtown,Alvernia,W 3-0,147.0,5674821,W,3,0,1,,
10/05/2024,Goucher,Lycoming,L 0-3,77.0,5674558,L,0,3,1,,
10/05/2024,Moravian,Susquehanna,L 0-3,105.0,5674541,L,0,3,1,,
10/05/2024,Moravian,Arcadia,W 3-1,101.0,5674779,W,3,1,1,,
10/05/2024,Susquehanna,Arcadia,W 3-0,179.0,5674831,W,3,0,1,,
10/05/2024,Wilkes,Alvernia,L 0-3,138.0,5674774,L,0,3,1,,
10/05/2024,Bard,St. Lawrence,L 0-3,75.0,5674714,L,0,3,1,,
10/05/2024,Bard,Rutgers-Newark,L 0-3,80.0,5674510,L,0,3,1,,
10/05/2024,Clarkson,SUNY New Paltz,W 3-2,50.0,5674511,W,3,2,1,,
10/05/2024,Ithaca,Smith,W 3-0,85.0,5674695,W,3,0,1,,
10/05/2024,Ithaca,NYU,L 1-3,85.0,5674820,L,1,3,1,,
10/05/2024,Skidmore,Union (NY),L 1-3,56.0,5674743,L,1,3,1,,
10/05/2024,St. Lawrence,Rutgers-Newark,L 2-3,50.0,5674687,L,2,3,1,,
10/05/2024,Eastern Conn. St.,Keene St.,W 3-1,200.0,5674561,W,3,1,1,,
10/05/2024,Eastern Conn. St.,Westfield St.,L 1-3,200.0,5674849,L,1,3,1,,
10/05/2024,Keene St.,Westfield St.,W 3-0,100.0,5674782,W,3,0,1,,
10/05/2024,Plymouth St.,Rhode Island Col.,W 3-0,225.0,5674578,W,3,0,1,,
10/05/2024,Southern Me.,UMass Dartmouth,L 0-3,89.0,5674544,L,0,3,1,,
10/05/2024,VTSU Castleton,WestConn,L 0-3,65.0,5674525,L,0,3,1,,
10/05/2024,Hood,FDU-Florham,W 3-1,102.0,5674813,W,3,1,1,,
10/05/2024,Stevenson,Lebanon Valley,W 3-2,177.0,5674724,W,3,2,1,,
10/05/2024,DeSales,Rowan,L 1-3,85.0,5674509,L,1,3,1,,
10/05/2024,DeSales,SUNY Maritime,W 3-0,25.0,5674691,W,3,0,1,,
10/05/2024,Misericordia,Mt. St. Mary (NY),W 3-0,97.0,5674859,W,3,0,1,,
10/05/2024,Worcester St.,Trinity (CT),L 0-3,153.0,5674508,L,0,3,1,,
10/05/2024,Augsburg,Wis.-Platteville,L 0-3,150.0,5674639,L,0,3,1,,
10/05/2024,Augsburg,UW-River Falls,W 3-2,150.0,5674799,W,3,2,1,,
10/05/2024,Concordia-M'head,Hamline,L 0-3,100.0,5674917,L,0,3,1,,
10/05/2024,Gustavus Adolphus,Macalester,W 3-0,71.0,5674897,W,3,0,1,,
10/05/2024,Saint Benedict,St. Scholastica,W 3-1,107.0,5674812,W,3,1,1,,
10/05/2024,Saint Mary's (MN),St. Olaf,L 0-3,47.0,5674852,L,0,3,1,,
10/05/2024,St. Catherine,UW-River Falls,W 3-2,30.0,5674692,W,3,2,1,,
10/05/2024,St. Catherine,Wis.-Platteville,W 3-2,43.0,5674817,W,3,2,1,,
10/05/2024,Illinois Col.,Ripon,W 3-0,50.0,5674595,W,3,0,1,,
10/05/2024,Knox,Lawrence,L 0-3,213.0,5674682,L,0,3,1,,
10/05/2024,Lake Forest,Monmouth (IL),L 1-3,116.0,5674641,L,1,3,1,,
10/05/2024,Calvin,Trine,W 3-0,212.0,5674642,W,3,0,1,,
10/05/2024,Calvin,Ohio Northern,L 0-3,177.0,5674814,L,0,3,1,,
10/05/2024,Hope,St. Mary's (IN),W 3-0,351.0,5674666,W,3,0,1,,
10/05/2024,Kalamazoo,Olivet,L 1-3,222.0,5674655,L,1,3,1,,
10/05/2024,Trine,Ohio Northern,L 0-3,125.0,5674878,L,0,3,1,,
10/05/2024,Alverno,Benedictine (IL),L 0-3,79.0,5674571,L,0,3,1,,
10/05/2024,Aurora,Lakeland,W 3-0,219.0,5674667,W,3,0,1,,
10/05/2024,Concordia Chicago,St. Norbert,L 1-3,128.0,5674552,L,1,3,1,,
10/05/2024,Concordia Wisconsin,IIT,W 3-0,329.0,5674570,W,3,0,1,,
10/05/2024,Dominican (IL),MSOE,L 2-3,125.0,5674556,L,2,3,1,,
10/05/2024,Edgewood,Wis. Lutheran,W 3-0,178.0,5674566,W,3,0,1,,
10/05/2024,Marian (WI),Rockford,W 3-0,88.0,5674586,W,3,0,1,,
10/05/2024,DePauw,Wooster,W 3-0,115.0,5674674,W,3,0,1,,
10/05/2024,Denison,Hiram,W 3-1,88.0,5674660,W,3,1,1,,
10/05/2024,Kenyon,Wittenberg,L 0-3,300.0,5674794,L,0,3,1,,
10/05/2024,Amherst,Colby,L 0-3,31.0,5681198,L,0,3,1,,
10/05/2024,Bates,Williams,L 0-3,0.0,5674711,L,0,3,1,,
10/05/2024,Bowdoin,Hamilton,L 2-3,137.0,5674728,L,2,3,1,,
10/05/2024,Connecticut Col.,Wesleyan (CT),L 0-3,50.0,5674770,L,0,3,1,,
10/05/2024,Middlebury,Tufts,W 3-1,327.0,5674756,W,3,1,1,,
10/05/2024,Babson,Wheaton (MA),W 3-0,125.0,5674520,W,3,0,1,,
10/05/2024,Clark (MA),Salve Regina,W 3-0,132.0,5674524,W,3,0,1,,
10/05/2024,Coast Guard,WPI,W 3-0,100.0,5674669,W,3,0,1,,
10/05/2024,Emerson,Springfield,L 0-3,245.0,5674542,L,0,3,1,,
10/05/2024,MIT,Mount Holyoke,W 3-0,55.0,5674555,W,3,0,1,,
10/05/2024,Wellesley,Brandeis,L 0-3,150.0,5674587,L,0,3,1,,
10/05/2024,Rowan,SUNY Maritime,W 3-1,55.0,5674793,W,3,1,1,,
10/05/2024,George Fox,Pacific Lutheran,L 2-3,231.0,5674910,L,2,3,1,,
10/05/2024,Lewis & Clark,Whitworth,L 0-3,121.0,5674903,L,0,3,1,,
10/05/2024,Pacific (OR),Puget Sound,L 0-3,115.0,5674909,L,0,3,1,,
10/05/2024,Whitman,Willamette,L 2-3,100.0,5674891,L,2,3,1,,
10/05/2024,Husson,Thomas (ME),L 1-3,100.0,5674597,L,1,3,1,,
10/05/2024,Maine Maritime,Me.-Presque Isle,W 3-0,50.0,5674801,W,3,0,1,,
10/05/2024,Baldwin Wallace,Capital,L 1-3,136.0,5674626,L,1,3,1,,
10/05/2024,Heidelberg,Wilmington (OH),W 3-0,133.0,5674664,W,3,0,1,,
10/05/2024,Mount Union,Westminster (PA),W 3-0,137.0,5674507,W,3,0,1,,
10/05/2024,Averett,East. Mennonite,W 3-2,100.0,5674532,W,3,2,1,,
10/05/2024,Bridgewater (VA),Randolph-Macon,W 3-2,136.0,5682665,W,3,2,1,,
10/05/2024,Guilford,Shenandoah,W 3-2,77.0,5674550,W,3,2,1,,
10/05/2024,Hollins,Va. Wesleyan,L 0-3,115.0,5674517,L,0,3,1,,
10/05/2024,Bethany (WV),Saint Vincent,L 0-3,175.0,5674489,L,0,3,1,,
10/05/2024,Chatham,Grove City,W 3-1,1.0,5674612,W,3,1,1,,
10/05/2024,Franciscan,Wash. & Jeff.,L 0-3,265.0,5674530,L,0,3,1,,
10/05/2024,Berry,Sewanee,W 3-0,250.0,5674549,W,3,0,1,,
10/05/2024,Centre,Oglethorpe,W 3-2,142.0,5674572,W,3,2,1,,
10/05/2024,Hendrix,Millsaps,L 1-3,75.0,5674703,L,1,3,1,,
10/05/2024,Austin,St. Thomas (TX),W 3-0,182.0,5674680,W,3,0,1,,
10/05/2024,Centenary (LA),Colorado Col.,L 0-3,110.0,5674563,L,0,3,1,,
10/05/2024,Trinity (TX),NYU,W 3-1,125.0,5731376,W,3,1,1,,
10/05/2024,Cal Lutheran,Redlands,L 0-3,109.0,5674848,L,0,3,1,,
10/05/2024,Caltech,Occidental,W 3-1,79.0,5674854,W,3,1,1,,
10/05/2024,Chapman,Claremont-M-S,L 0-3,112.0,5674850,L,0,3,1,,
10/05/2024,Pomona-Pitzer,Whittier,W 3-1,132.0,5674863,W,3,1,1,,
10/05/2024,Blackburn,Spalding,L 2-3,50.0,5674498,L,2,3,1,,
10/05/2024,Blackburn,Westminster (MO),L 0-3,100.0,5674592,L,0,3,1,,
10/05/2024,Eureka,MUW,W 3-2,113.0,5674501,W,3,2,1,,
10/05/2024,Fontbonne,Lyon,W 3-0,200.0,5674745,W,3,0,1,,
10/05/2024,Greenville,Westminster (MO),W 3-1,0.0,5674499,W,3,1,1,,
10/05/2024,Greenville,Spalding,W 3-2,150.0,5674536,W,3,2,1,,
10/05/2024,Buffalo St.,Plattsburgh St.,W 3-0,50.0,5674619,W,3,0,1,,
10/05/2024,Cortland,SUNY Canton,W 3-0,70.0,5674673,W,3,0,1,,
10/05/2024,Fredonia,SUNY Potsdam,L 2-3,75.0,5674610,L,2,3,1,,
10/05/2024,Oswego St.,SUNY Morrisville,L 0-3,52.0,5674614,L,0,3,1,,
10/05/2024,Bethany Lutheran,Crown (MN),W 3-0,85.0,5674624,W,3,0,1,,
10/05/2024,Martin Luther,Minn.-Morris,L 0-3,59.0,5674613,L,0,3,1,,
10/05/2024,North Central (MN),Wis.-Superior,L 0-3,115.0,5674681,L,0,3,1,,
10/05/2024,North Central (MN),Northwestern-St. Paul,L 0-3,100.0,5674861,L,0,3,1,,
10/05/2024,Northland,Northwestern-St. Paul,L 0-3,632.0,5674523,L,0,3,1,,
10/05/2024,Brevard,Mary Baldwin,W 3-0,92.0,5674588,W,3,0,1,,
10/05/2024,Brevard,Methodist,L 0-3,91.0,5674858,L,0,3,1,,
10/05/2024,Greensboro,N.C. Wesleyan,W 3-0,71.0,5674647,W,3,0,1,,
10/05/2024,Mary Baldwin,Methodist,L 0-3,91.0,5674771,L,0,3,1,,
10/05/2024,Meredith,Southern Va.,L 2-3,151.0,5674777,L,2,3,1,,
10/05/2024,Meredith,Pfeiffer,W 3-0,150.0,5674862,W,3,0,1,,
10/05/2024,Pfeiffer,Southern Va.,L 0-3,150.0,5682655,L,0,3,1,,
10/05/2024,Salem (NC),William Peace,W 3-1,149.0,5674560,W,3,1,1,,
10/05/2024,Bryn Athyn,Penn St. Harrisburg,L 0-3,101.0,5674636,L,0,3,1,,
10/05/2024,Cairn,Penn College,W 3-0,50.0,5674684,W,3,0,1,,
10/05/2024,Cedar Crest,Keystone,L 0-3,54.0,5674889,L,0,3,1,,
10/05/2024,Gallaudet,Penn St. Brandywine,W 3-0,257.0,5674575,W,3,0,1,,
10/05/2024,Lancaster Bible,Saint Elizabeth,W 3-0,75.0,5674649,W,3,0,1,,
10/05/2024,Notre Dame (MD),Penn St.-Abington,L 2-3,40.0,5674829,L,2,3,1,,
10/05/2024,Rosemont,Valley Forge,W 3-1,15.0,5674757,W,3,1,1,,
10/05/2024,St. Mary's (MD),Wilson,W 3-0,175.0,5674654,W,3,0,1,,
10/06/2024,Beloit,St. Mary's (IN),L 0-3,91.0,5674971,L,0,3,1,,
10/06/2024,Berry,Centre,L 2-3,150.0,5674930,L,2,3,1,,
10/06/2024,Millsaps,Rhodes,L 1-3,75.0,5674927,L,1,3,1,,
10/06/2024,Oglethorpe,Sewanee,W 3-1,124.0,5674934,W,3,1,1,,
10/06/2024,Austin,Colorado Col.,W 3-0,168.0,5674977,W,3,0,1,,
10/06/2024,Centenary (LA),St. Thomas (TX),L 0-3,109.0,5674935,L,0,3,1,,
10/06/2024,Centenary (LA),St. Thomas (TX),L 0-3,109.0,5681167,L,0,3,2,,
10/07/2024,Pratt,Lehman,W 3-1,57.0,5674994,W,3,1,1,,
